Department,SourceOfFund,DateRequested,DateNeeded,DateApproved,ApprovalLagDays,TransactionType,ModeOfPayment,TermsOfPayment,PR,PO,RR,TaxRegistration,TypeOfBusiness,Currency,Amount,ServiceFee,Less:EWT,NetTotalAmount,StudentsEnrolled,ProgramCount,AccreditationAudit,GovtFundingChange,TuitionPolicy
ATYCB,General Fund,2025-11-21,2025-12-28,2025-12-09,18,Purchase Order,Cheque,Net 30,PR-2025-7212,PO-2025-4234,RR-2025-8550,VAT,Services,PHP,44208.56,5.45,884.17,43318.94,848,6,0,1.07,Freeze
ATYCB,Others,2023-11-08,2023-12-13,2023-11-29,21,Purchase Order,Fund Transfer,Net 30,PR-2023-9302,PO-2023-8015,RR-2023-3426,Non-VAT,Goods,PHP,25816.05,139.17,258.16,25418.72,918,6,0,1.04,Decrease
IFO,Project Fund,2025-05-09,2025-05-20,2025-05-18,9,Purchase Order,Cheque,Net 30,PR-2025-5213,PO-2025-4997,RR-2025-4039,Non-VAT,Rental,PHP,6713.93,46.44,335.7,6331.79,592,0,0,0.96,Increase
CSCE,Project Fund,2021-12-25,2022-02-05,2022-01-02,8,Payment Only,Fund Transfer,Net 15,PR-2021-6367,,,VAT,Services,PHP,7722.82,20.86,154.46,7547.5,420,0,0,0.9,Decrease
CHSW,Project Fund,2022-05-25,2022-07-08,2022-06-02,8,Payment Only,Cheque,Net 30,PR-2022-1472,,RR-2022-7473,VAT,Honorarium 5%,PHP,12068.58,26.32,603.43,11438.83,396,0,0,1.02,Freeze
HS,Project Fund,2024-06-02,2024-07-07,2024-06-24,22,Payment Only,Cash,Net 45,PR-2024-3841,,RR-2024-7563,VAT,Goods,PHP,17098.41,0.0,170.98,16927.43,335,0,0,1.09,Freeze
CGC,General Fund,2025-03-14,2025-04-02,2025-03-17,3,Purchase Order,Cash,Immediate,PR-2025-6537,PO-2025-4033,RR-2025-9724,VAT,Goods,PHP,11346.45,0.0,113.46,11232.99,828,0,0,1.06,Freeze
ATYCB,General Fund,2025-04-12,2025-05-13,2025-04-17,5,Purchase Order,Fund Transfer,Net 7,PR-2025-2876,PO-2025-4526,RR-2025-2622,VAT,Honorarium 5%,PHP,45054.03,145.83,2252.7,42655.5,811,6,0,0.98,Freeze
ICELL,General Fund,2023-01-24,2023-02-22,2023-02-08,15,Purchase Order,Cheque,Net 30,PR-2023-2987,PO-2023-8673,,VAT,Goods,PHP,13499.31,25.93,134.99,13338.39,714,0,0,0.91,Freeze
ORDI,Special Fund,2025-05-21,2025-06-23,2025-05-30,9,Purchase Order,Cheque,Net 30,PR-2025-9728,PO-2025-1951,,VAT,Goods,PHP,30275.89,31.17,302.76,29941.96,693,0,0,0.96,Freeze
EVP or COO,Others,2025-03-01,2025-04-14,2025-03-02,1,Payment Only,Cheque,Immediate,PR-2025-4936,,RR-2025-7848,VAT,Goods,PHP,24838.22,36.84,248.38,24553.0,400,0,0,1.06,Increase
OCP,Paid Fund,2025-08-06,2025-08-14,2025-08-13,7,Payment Only,Cheque,Net 30,PR-2025-4956,,,VAT,Goods,PHP,9758.38,49.34,97.58,9611.46,209,0,0,0.96,Freeze
CGC,Special Fund,2024-12-20,2025-01-23,2025-01-11,22,Purchase Order,Fund Transfer,Net 30,PR-2024-8008,PO-2024-6931,,VAT,Goods,PHP,23266.37,112.59,232.66,22921.12,738,0,0,1.0,Freeze
CAS,General Fund,2024-05-04,2024-05-27,2024-05-16,12,Purchase Order,Fund Transfer,Net 45,PR-2024-7356,PO-2024-4742,,Non-VAT,Goods,PHP,39392.46,82.18,393.92,38916.36,3837,2,0,0.92,Freeze
ACO,Project Fund,2023-12-27,2024-02-07,2023-12-31,4,Purchase Order,Cash,Net 7,PR-2023-3665,PO-2023-8149,,VAT,Goods,PHP,24178.05,0.0,241.78,23936.27,660,0,0,0.92,Freeze
ATYCB,General Fund,2022-12-01,2022-12-25,2022-12-09,8,Purchase Order,Fund Transfer,Net 15,PR-2022-3366,PO-2022-8559,RR-2022-1366,VAT,Services,PHP,41361.25,145.78,827.22,40388.25,964,6,0,1.08,Increase
ATYCB,General Fund,2025-09-24,2025-10-14,2025-10-12,18,Payment Only,Fund Transfer,Net 45,PR-2025-8446,,,VAT,Rental,PHP,18041.05,21.38,902.05,17117.62,817,6,0,1.1,Freeze
CLIR,General Fund,2025-11-05,2025-12-06,2025-11-12,7,Purchase Order,Cash,Net 15,PR-2025-6677,PO-2025-3568,RR-2025-9067,VAT,Goods,PHP,13021.23,0.0,130.21,12891.02,423,0,0,1.01,Freeze
OAVP,General Fund,2022-05-21,2022-06-20,2022-05-31,10,Purchase Order,Fund Transfer,Net 15,PR-2022-3788,PO-2022-5876,RR-2022-2769,VAT,Goods,PHP,12137.73,19.11,121.38,11997.24,201,0,0,1.09,Decrease
CCIS,General Fund,2022-07-20,2022-08-17,2022-07-29,9,Purchase Order,Fund Transfer,Net 30,PR-2022-5349,PO-2022-5965,RR-2022-9125,Non-VAT,Honorarium 5%,PHP,41703.96,44.0,2085.2,39574.76,2970,3,1,1.05,Freeze
ATYCB,Paid Fund,2023-06-14,2023-06-28,2023-06-27,13,Purchase Order,Fund Transfer,Net 30,PR-2023-4865,PO-2023-9011,RR-2023-5576,VAT,Goods,PHP,47246.66,108.61,472.47,46665.58,936,6,0,0.97,Freeze
OSS,General Fund,2023-03-27,2023-04-15,2023-04-14,18,Purchase Order,Cheque,Net 30,PR-2023-6918,PO-2023-2089,RR-2023-7468,VAT,Goods,PHP,15950.92,4.4,159.51,15787.01,359,0,0,0.93,Freeze
NSTP,Paid Fund,2025-12-27,2026-01-23,2025-12-31,4,Payment Only,Cheque,Net 15,PR-2025-5971,,RR-2025-1968,Non-VAT,Goods,PHP,30009.7,7.91,300.1,29701.69,539,0,0,1.04,Increase
ATYCB,General Fund,2021-12-28,2022-01-11,2022-01-05,8,Payment Only,Fund Transfer,Net 15,PR-2021-1629,,,Non-VAT,Services,PHP,54500.38,109.08,1090.01,53301.29,989,6,0,1.07,Freeze
CAS,Paid Fund,2021-02-22,2021-03-25,2021-03-12,18,Payment Only,Fund Transfer,Net 30,PR-2021-4477,,,VAT,Goods,PHP,49556.26,120.82,495.56,48939.88,4127,2,0,1.07,Freeze
IFO,General Fund,2023-06-11,2023-06-26,2023-06-12,1,Payment Only,Cheque,Immediate,PR-2023-3555,,RR-2023-1458,VAT,Services,PHP,10911.93,3.02,218.24,10690.67,678,0,0,0.96,Freeze
CAS,Others,2021-12-24,2021-12-31,2021-12-30,6,Purchase Order,Cheque,Net 15,PR-2021-1938,PO-2021-5301,,Non-VAT,Rental,PHP,42998.52,22.9,2149.93,40825.69,4133,2,0,1.05,Decrease
HRMO,General Fund,2022-11-03,2022-11-19,2022-11-18,15,Purchase Order,Cheque,Net 30,PR-2022-1677,PO-2022-6909,,Non-VAT,Services,PHP,9404.43,6.19,188.09,9210.15,668,0,0,0.94,Freeze
OSS,Special Fund,2024-09-19,2024-10-13,2024-09-28,9,Purchase Order,Fund Transfer,Net 30,PR-2024-3163,PO-2024-2853,RR-2024-6448,Non-VAT,Goods,PHP,12039.72,138.87,120.4,11780.45,407,0,0,1.05,Freeze
CCIS,General Fund,2024-08-07,2024-08-30,2024-08-17,10,Purchase Order,Cheque,Net 15,PR-2024-7132,PO-2024-6969,,VAT,Services,PHP,18971.62,12.23,379.43,18579.96,3164,3,0,0.94,Decrease
CEA,Special Fund,2022-07-04,2022-08-05,2022-08-04,31,Purchase Order,Cheque,Net 45,PR-2022-4039,PO-2022-9291,RR-2022-3737,Non-VAT,Goods,PHP,33639.45,21.33,336.39,33281.73,4989,8,0,1.05,Freeze
RO,Paid Fund,2023-09-14,2023-10-01,2023-09-30,16,Payment Only,Cash,Net 15,PR-2023-7723,,RR-2023-2248,Non-VAT,Goods,USD,9378.76,0.0,93.79,9284.97,507,0,0,0.97,Increase
