Date,Department,NetTotalAmount,Requests,PO_count,RR_count,StudentsEnrolled_mean,StudentsEnrolled_last,ProgramCount_max,AccreditationAudit_any,GovtFundingChange_mean,TuitionPolicy_mode,month,quarter,year,is_fy_end,EnrollMoM_pct,EnrollYoY_pct,lag_1,lag_3,lag_12,roll3_mean,roll3_std,roll12_mean,roll12_std
2023-01-01,1900 STORE,40289.22,3.0,3.0,3.0,812.0,802.0,0.0,0.0,0.9466666666666667,Decrease,1,1,2023,0,-0.6195786864931829,9.413369713506148,44812.229999999996,17330.25,20021.97,33409.21666666666,14325.264774576868,38098.14333333333,20106.22538183649
2023-02-01,1900 STORE,17240.97,1.0,1.0,1.0,844.0,844.0,0.0,0.0,0.92,Freeze,2,1,2023,0,5.2369077306733125,5.7644110275689275,40289.22,38085.17,31050.35,41062.20666666666,3429.499285760703,39787.08083333333,19284.20443168424
2023-03-01,1900 STORE,27375.379999999997,2.0,2.0,2.0,791.0,792.0,0.0,0.0,0.975,Freeze,3,1,2023,0,-6.16113744075829,-0.5025125628140725,17240.97,44812.229999999996,60420.39,34114.13999999999,14786.558228732596,38636.299166666664,20241.251786918376
2023-04-01,1900 STORE,70101.66,4.0,4.0,4.0,828.0,844.0,0.0,0.0,0.9875,Freeze,4,2,2023,0,6.565656565656575,2.4271844660194164,27375.379999999997,40289.22,14626.73,28301.85666666666,11552.022605415596,35882.54833333333,19230.787286238236
2023-05-01,1900 STORE,29663.03,3.0,3.0,3.0,798.3333333333334,759.0,0.0,0.0,1.0266666666666666,Freeze,5,2,2023,0,-10.07109004739336,-0.7843137254901933,70101.66,17240.97,61936.81,38239.33666666666,28054.987126363703,40505.45916666666,20294.954839911887
2023-06-01,1900 STORE,93056.61,7.0,7.0,7.0,788.0,833.0,0.0,0.0,0.9857142857142858,Freeze,6,2,2023,0,9.74967061923584,4.255319148936176,29663.03,27375.379999999997,9655.18,42380.02333333332,24034.874458578586,37815.9775,19311.30814165963
2023-07-01,1900 STORE,29159.4,3.0,3.0,3.0,816.3333333333334,833.0,0.0,0.0,1.0066666666666666,Freeze,7,3,2023,0,0.0,10.771276595744684,93056.61,70101.66,38910.21,64273.76666666666,32096.101816772607,44766.09666666666,22924.857349723858
2023-08-01,1900 STORE,21738.41,2.0,2.0,2.0,796.0,817.0,0.0,0.0,1.025,Freeze,8,3,2023,0,-1.9207683073229287,5.555555555555558,29159.4,29663.03,50338.159999999996,50626.34666666666,36746.54875898189,43953.52916666667,23320.678125266062
2023-10-01,1900 STORE,38642.59,3.0,3.0,3.0,786.0,800.0,0.0,0.0,0.98,Freeze,10,4,2023,0,-2.0807833537331732,0.5025125628140614,21738.41,93056.61,69990.26999999999,47984.806666666664,39209.289268412314,41570.21666666667,24058.603030336093
2023-11-01,1900 STORE,24838.58,2.0,2.0,2.0,803.0,823.0,0.0,0.0,1.0350000000000001,Increase,11,4,2023,0,2.8750000000000053,3.262233375156831,38642.59,29159.4,17330.25,29846.79999999999,8473.02864612758,38957.909999999996,22332.12523059672
2023-12-01,1900 STORE,22505.84,1.0,1.0,1.0,788.0,788.0,0.0,0.0,1.07,Increase,12,4,2023,1,-4.252733900364525,7.797537619699035,24838.58,21738.41,38085.17,28406.526666666654,8999.194848997982,39583.604166666664,21769.168929634267
2024-01-01,1900 STORE,11518.13,1.0,1.0,1.0,792.0,792.0,0.0,0.0,1.05,Decrease,1,1,2024,0,0.50761421319796,-1.8587360594795488,22505.84,38642.59,44812.229999999996,28662.336666666655,8721.497086225037,38285.32666666667,22324.145723516638
2024-02-01,1900 STORE,56756.95,3.0,3.0,3.0,816.3333333333334,852.0,0.0,0.0,1.05,Decrease,2,1,2024,0,7.575757575757569,6.234413965087282,11518.13,24838.58,40289.22,19620.849999999988,7113.436056203645,35510.818333333336,23478.326364197274
2024-03-01,1900 STORE,52580.26,3.0,3.0,3.0,810.3333333333334,788.0,0.0,0.0,0.9666666666666667,Freeze,3,1,2024,0,-7.511737089201875,-6.635071090047395,56756.95,22505.84,17240.97,30260.306666666653,23595.264857836028,36883.129166666666,24251.552980322525
2024-05-01,1900 STORE,82225.02,6.0,6.0,6.0,806.0,838.0,0.0,0.0,0.9983333333333334,Freeze,5,2,2024,0,6.345177664974622,5.808080808080818,52580.26,11518.13,27375.379999999997,40285.11333333332,25000.31364631717,39828.07,23790.810722284812
2024-06-01,1900 STORE,30258.2,3.0,3.0,3.0,816.0,858.0,0.0,0.0,0.9566666666666667,Increase,6,2,2024,0,2.3866348448687402,1.6587677725118377,82225.02,56756.95,70101.66,63854.07666666666,16046.17879921678,44398.87333333333,26315.83413215437
2024-07-01,1900 STORE,41755.619999999995,3.0,3.0,3.0,803.6666666666666,779.0,0.0,0.0,1.0066666666666666,Increase,7,3,2024,0,-9.207459207459213,2.6350461133069825,30258.2,52580.26,29663.03,55021.15999999998,26069.25564406472,41078.585,25270.874380080506
2024-08-01,1900 STORE,50823.479999999996,5.0,5.0,5.0,830.0,857.0,0.0,0.0,1.014,Increase,8,3,2024,0,10.01283697047497,2.881152460984393,41755.619999999995,82225.02,93056.61,51412.946666666656,27296.255493897574,42086.300833333335,25014.078939843774
2024-09-01,1900 STORE,22253.25,2.0,2.0,2.0,819.0,775.0,0.0,0.0,0.98,Freeze,9,3,2024,0,-9.568261376896148,-6.962785114045622,50823.479999999996,30258.2,29159.4,40945.76666666665,10306.531045202972,38566.87333333333,19569.166474114947
2024-10-01,1900 STORE,76977.95,6.0,6.0,6.0,825.1666666666666,861.0,0.0,0.0,1.0,Increase,10,4,2024,0,11.096774193548399,5.385556915544676,22253.25,41755.619999999995,21738.41,38277.44999999998,14599.238352561382,37991.36083333333,19968.461991806646
2024-11-01,1900 STORE,9117.04,1.0,1.0,1.0,823.0,823.0,0.0,0.0,1.03,Increase,11,4,2024,0,-4.4134727061556305,2.8750000000000053,76977.95,50823.479999999996,38642.59,50018.22666666665,27371.235306807637,42594.65583333333,22131.10941489767
2024-12-01,1900 STORE,68571.18,5.0,5.0,5.0,848.8,862.0,0.0,0.0,1.03,Freeze,12,4,2024,1,4.73876063183476,4.73876063183476,9117.04,22253.25,24838.58,36116.07999999999,35991.795151307735,40134.193333333336,24158.81445059728
2025-01-01,1900 STORE,19377.050000000003,2.0,2.0,2.0,819.5,774.0,0.0,0.0,0.9750000000000001,Decrease,1,1,2025,0,-10.208816705336432,-1.7766497461928932,68571.18,76977.95,22505.84,51555.389999999985,36992.277687378206,43778.57666666666,24928.00458249949
2021-01-01,ACO,42854.03,4.0,4.0,4.0,612.25,626.0,0.0,0.0,0.985,Freeze,1,1,2021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,ACO,28690.0,2.0,2.0,2.0,597.5,569.0,0.0,0.0,0.995,Freeze,2,1,2021,0,-9.105431309904155,0.0,42854.03,0.0,0.0,42854.03,0.0,42854.03,0.0
2021-03-01,ACO,104995.19,6.0,6.0,6.0,574.0,575.0,0.0,0.0,1.0133333333333334,Decrease,3,1,2021,0,1.0544815465729274,0.0,28690.0,0.0,0.0,35772.015,10015.481661929694,35772.015,10015.481661929694
2021-04-01,ACO,169542.83000000002,9.0,9.0,9.0,579.5555555555555,560.0,0.0,0.0,0.9755555555555555,Freeze,4,2,2021,0,-2.608695652173909,0.0,104995.19,42854.03,0.0,58846.40666666667,40588.638666755425,58846.40666666667,40588.638666755425
2021-05-01,ACO,59591.33,5.0,5.0,5.0,585.4,564.0,0.0,0.0,1.034,Decrease,5,2,2021,0,0.7142857142857117,0.0,169542.83000000002,28690.0,0.0,101076.00666666667,70508.15504785551,86520.51250000001,64511.36535974438
2021-06-01,ACO,20440.370000000003,2.0,2.0,2.0,592.5,566.0,0.0,0.0,0.98,Freeze,6,2,2021,0,0.35460992907800915,0.0,59591.33,104995.19,0.0,111376.45000000001,55252.81393244329,81134.676,57151.757361060045
2021-07-01,ACO,41418.34,3.0,3.0,3.0,576.0,571.0,0.0,0.0,1.01,Freeze,7,3,2021,0,0.8833922261484162,0.0,20440.370000000003,169542.83000000002,0.0,83191.51000000001,77302.08449024645,71018.95833333333,56806.911190772
2021-08-01,ACO,74353.67,4.0,4.0,4.0,574.0,575.0,0.0,0.0,0.9775,Increase,8,3,2021,0,0.7005253940455258,0.0,41418.34,59591.33,0.0,40483.34666666667,19592.219798441252,66790.29857142858,53050.52851955276
2021-09-01,ACO,5978.27,1.0,1.0,1.0,560.0,560.0,0.0,0.0,0.96,Decrease,9,3,2021,0,-2.608695652173909,0.0,74353.67,20440.370000000003,0.0,45404.12666666667,27176.75202699236,67735.72,49187.985570184865
2021-10-01,ACO,52449.44,4.0,4.0,4.0,597.5,600.0,0.0,0.0,1.0025,Freeze,10,4,2021,0,7.14285714285714,0.0,5978.27,41418.34,0.0,40583.426666666666,34195.3453191459,60873.781111111115,50406.36400029004
2021-11-01,ACO,55097.79,4.0,4.0,4.0,597.25,579.0,0.0,0.0,1.0025,Freeze,11,4,2021,0,-3.500000000000003,0.0,52449.44,74353.67,0.0,44260.46,34915.51770159366,60031.346999999994,47598.184868144584
2021-12-01,ACO,77442.83,5.0,5.0,5.0,573.8,591.0,0.0,0.0,0.976,Freeze,12,4,2021,1,2.0725388601036343,0.0,55097.79,5978.27,0.0,37841.833333333336,27626.40839221836,59582.84181818182,45180.09748049639
2022-01-01,ACO,55431.47,3.0,3.0,3.0,613.3333333333334,600.0,0.0,0.0,1.0033333333333334,Freeze,1,1,2022,0,1.522842639593902,-4.153354632587858,77442.83,52449.44,42854.03,61663.35333333333,13729.4337951728,61071.17416666667,43384.96771837798
2022-02-01,ACO,21866.15,2.0,2.0,2.0,631.5,651.0,0.0,0.0,1.03,Freeze,2,1,2022,0,8.499999999999996,14.411247803163452,55431.47,55097.79,28690.0,62657.36333333332,12805.676631827504,62119.29416666667,43055.53382050726
2022-03-01,ACO,30138.61,2.0,2.0,2.0,628.0,626.0,0.0,0.0,1.0550000000000002,Freeze,3,1,2022,0,-3.840245775729645,8.869565217391306,21866.15,77442.83,104995.19,51580.149999999994,27987.789109938636,61550.64000000001,43579.067550564185
2022-04-01,ACO,28099.72,2.0,2.0,2.0,582.0,609.0,0.0,0.0,1.02,Freeze,4,2,2022,0,-2.7156549520766737,8.749999999999991,30138.61,55431.47,169542.83000000002,35812.07666666666,17487.105097440613,55312.591666666674,42128.39050747496
2022-05-01,ACO,41649.74,3.0,3.0,3.0,593.0,595.0,0.0,0.0,0.9766666666666667,Freeze,5,2,2022,0,-2.298850574712641,5.496453900709231,28099.72,21866.15,59591.33,26701.49333333333,4309.83491231783,43525.66583333333,22457.288231225397
2022-06-01,ACO,19893.2,2.0,2.0,2.0,573.0,570.0,0.0,0.0,1.085,Freeze,6,2,2022,0,-4.201680672268903,0.7067137809187329,41649.74,30138.61,20440.370000000003,33296.02333333332,7306.004702861435,42030.53333333333,21880.286311923173
2022-07-01,ACO,76257.25,5.0,5.0,5.0,593.8,599.0,0.0,0.0,1.002,Freeze,7,3,2022,0,5.087719298245608,4.903677758318747,19893.2,28099.72,41418.34,29880.88666666666,10987.091253545386,41984.93583333334,21929.883398885977
2022-08-01,ACO,55462.59,5.0,5.0,5.0,594.6,575.0,0.0,0.0,1.034,Freeze,8,3,2022,0,-4.006677796327207,0.0,76257.25,41649.74,74353.67,45933.39666666667,28425.144132071397,44888.17833333334,24051.5399773652
2022-09-01,ACO,23819.18,2.0,2.0,2.0,608.0,638.0,0.0,0.0,0.98,Freeze,9,3,2022,0,10.956521739130443,13.928571428571423,55462.59,19893.2,5978.27,50537.67999999999,28502.939970846855,43313.92166666667,22516.87428335784
2022-10-01,ACO,10685.52,1.0,1.0,1.0,649.0,649.0,0.0,0.0,0.97,Freeze,10,4,2022,0,1.724137931034475,8.166666666666679,23819.18,76257.25,52449.44,51846.34,26405.41127076227,44800.66416666666,20308.249847509764
2022-11-01,ACO,20061.7,1.0,1.0,1.0,651.0,651.0,0.0,0.0,0.9,Increase,11,4,2022,0,0.30816640986133237,12.435233160621761,10685.52,55462.59,55097.79,29989.09666666666,23017.32832457828,41320.3375,22353.89397813157
2022-12-01,ACO,9978.58,1.0,1.0,1.0,624.0,624.0,0.0,0.0,0.98,Freeze,12,4,2022,1,-4.147465437788023,5.583756345177671,20061.7,23819.18,77442.83,18188.799999999996,6764.175637607366,38400.66333333334,22676.539418393822
2023-01-01,ACO,8663.73,1.0,1.0,1.0,579.0,579.0,0.0,0.0,1.0,Increase,1,1,2023,0,-7.211538461538458,-3.500000000000003,9978.58,10685.52,55431.47,13575.266666666663,5628.525924408148,32778.6425,20361.993258179482
2023-02-01,ACO,45541.1,4.0,4.0,4.0,607.0,610.0,0.0,0.0,0.9975,Freeze,2,1,2023,0,5.354058721934374,-6.298003072196623,8663.73,20061.7,21866.15,12901.336666666662,6235.808682892271,28881.33083333333,20106.14654170094
2023-03-01,ACO,21104.95,1.0,1.0,1.0,588.0,588.0,0.0,0.0,1.03,Decrease,3,1,2023,0,-3.60655737704918,-6.070287539936103,45541.1,9978.58,30138.61,21394.469999999998,20921.926605795674,30854.243333333332,20512.6456741606
2023-04-01,ACO,29775.02,2.0,2.0,2.0,618.5,602.0,0.0,0.0,1.025,Freeze,4,2,2023,0,2.3809523809523725,-1.1494252873563204,21104.95,8663.73,28099.72,25103.259999999995,18760.995886980538,30101.438333333335,20706.149642306653
2023-05-01,ACO,32049.86,4.0,4.0,4.0,636.25,648.0,0.0,0.0,0.995,Freeze,5,2,2023,0,7.641196013289031,8.907563025210074,29775.02,45541.1,41649.74,32140.35666666666,12388.602417772297,30241.046666666665,20697.072146709448
2023-06-01,ACO,16367.83,2.0,2.0,2.0,606.0,584.0,0.0,0.0,0.92,Freeze,6,2,2023,0,-9.876543209876543,2.4561403508772006,32049.86,21104.95,19893.2,27643.27666666666,5775.466297748937,29441.056666666667,20399.399420764275
2023-07-01,ACO,80223.34999999999,6.0,6.0,6.0,599.6666666666666,647.0,0.0,0.0,1.0116666666666667,Freeze,7,3,2023,0,10.787671232876717,8.013355592654413,16367.83,29775.02,76257.25,26064.236666666664,8474.016222573207,29147.275833333333,20574.040276790733
2023-08-01,ACO,20843.07,2.0,2.0,2.0,625.5,659.0,0.0,0.0,0.91,Freeze,8,3,2023,0,1.8547140649149974,14.608695652173909,80223.34999999999,32049.86,55462.59,42880.34666666666,33276.96560227859,29477.784166666665,21414.3268177152
2023-09-01,ACO,3615.81,1.0,1.0,1.0,589.0,589.0,0.0,0.0,0.98,Freeze,9,3,2023,0,-10.62215477996965,-7.68025078369906,20843.07,16367.83,23819.18,39144.74999999999,35645.41312335151,26592.82416666667,19871.815462975053
2023-11-01,ACO,17125.0,3.0,3.0,3.0,636.3333333333334,643.0,0.0,0.0,0.9933333333333335,Decrease,11,4,2023,0,9.168081494057724,-0.9244992295839749,3615.81,80223.34999999999,10685.52,34894.07666666666,40190.19640998204,24909.210000000003,20954.528575086722
2023-12-01,ACO,60062.19,3.0,3.0,3.0,624.3333333333334,640.0,0.0,0.0,1.0033333333333334,Freeze,12,4,2023,1,-0.4665629860031051,-1.6897081413210446,17125.0,20843.07,20061.7,13861.29333333333,9065.509234534757,25445.833333333332,20637.21250277331
2024-01-01,ACO,39474.75,3.0,3.0,3.0,640.3333333333334,620.0,0.0,0.0,1.06,Freeze,1,1,2024,0,-3.125,-0.6410256410256387,60062.19,3615.81,9978.58,26934.333333333332,29473.983767204496,28779.2075,22805.116243816097
2024-02-01,ACO,34342.0,2.0,2.0,2.0,629.0,636.0,0.0,0.0,0.975,Freeze,2,1,2024,0,2.580645161290329,9.844559585492219,39474.75,17125.0,8663.73,38887.31333333333,21474.621827916624,31237.221666666665,22175.40740035058
2024-03-01,ACO,87920.16,7.0,7.0,7.0,617.0,587.0,0.0,0.0,0.9857142857142858,Freeze,3,1,2024,0,-7.704402515723274,-3.770491803278686,34342.0,60062.19,45541.1,44626.31333333333,13611.979907127132,33377.0775,21007.28218696688
2024-04-01,ACO,40252.88,3.0,3.0,3.0,621.0,640.0,0.0,0.0,0.9700000000000001,Decrease,4,2,2024,0,9.028960817717202,8.843537414965997,87920.16,39474.75,21104.95,53912.30333333334,29563.27141802869,36908.66583333333,26166.74496910341
2024-06-01,ACO,26429.57,2.0,2.0,2.0,636.0,606.0,0.0,0.0,1.02,Freeze,6,2,2024,0,-5.312499999999998,0.6644518272425293,40252.88,34342.0,29775.02,54171.68,29376.088104551953,38504.32666666667,25694.988364147554
2024-07-01,ACO,10660.009999999998,2.0,2.0,2.0,674.5,675.0,0.0,0.0,0.9650000000000001,Freeze,7,3,2024,0,11.386138613861396,4.166666666666674,26429.57,87920.16,32049.86,51534.20333333333,32260.25971300343,38225.53916666666,25816.17354472876
2024-08-01,ACO,29596.68,3.0,3.0,3.0,641.6666666666666,601.0,0.0,0.0,0.9833333333333334,Decrease,8,3,2024,0,-10.962962962962964,2.910958904109595,10660.009999999998,40252.88,16367.83,25780.819999999996,14807.097829456663,36443.051666666666,26992.95400693225
2024-09-01,ACO,13211.49,1.0,1.0,1.0,640.0,640.0,0.0,0.0,0.93,Freeze,9,3,2024,0,6.489184692179695,-1.081916537867078,29596.68,26429.57,80223.34999999999,22228.75333333333,10143.200341728138,37545.45583333333,26361.283536994662
2024-10-01,ACO,12153.05,1.0,1.0,1.0,585.0,585.0,0.0,0.0,0.9,Freeze,10,4,2024,0,-8.59375,-11.229135053110772,13211.49,10660.009999999998,20843.07,17822.726666666666,10276.039868024749,31961.134166666667,23433.878792448966
2024-11-01,ACO,14119.2,1.0,1.0,1.0,672.0,672.0,0.0,0.0,1.08,Freeze,11,4,2024,0,14.871794871794863,14.091680814940588,12153.05,29596.68,3615.81,18320.406666666666,9779.868558648119,31236.965833333335,23937.54988238939
2024-12-01,ACO,31437.25,2.0,2.0,2.0,661.5,680.0,0.0,0.0,0.9850000000000001,Freeze,12,4,2024,1,1.1904761904761862,5.754276827371685,14119.2,13211.49,17125.0,13161.246666666666,984.0374738973953,32112.248333333333,23009.81107383338
2025-01-01,ACO,76244.62,4.0,4.0,4.0,645.0,664.0,0.0,0.0,0.9924999999999999,Freeze,1,1,2025,0,-2.352941176470591,3.750000000000009,31437.25,12153.05,60062.19,19236.5,10611.793527839704,33304.93583333333,22528.23164319037
2021-01-01,ADO,10369.45,2.0,2.0,2.0,233.5,220.0,0.0,0.0,0.95,Freeze,1,1,2021,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,ADO,72074.14,5.0,5.0,5.0,215.6,227.0,0.0,0.0,0.9640000000000001,Freeze,2,1,2021,0,3.1818181818181746,0.0,10369.45,0.0,0.0,10369.45,0.0,10369.45,0.0
2021-03-01,ADO,85441.07,5.0,5.0,5.0,209.6,233.0,0.0,0.0,0.994,Decrease,3,1,2021,0,2.643171806167399,0.0,72074.14,0.0,0.0,41221.795,43631.80473001375,41221.795,43631.80473001375
2021-04-01,ADO,37820.15,2.0,2.0,2.0,199.5,197.0,0.0,0.0,0.91,Decrease,4,2,2021,0,-15.450643776824036,0.0,85441.07,10369.45,0.0,55961.55333333334,40045.58176845773,55961.55333333334,40045.58176845773
2021-05-01,ADO,16933.12,2.0,2.0,2.0,177.5,196.0,0.0,0.0,1.0,Decrease,5,2,2021,0,-0.5076142131979711,0.0,37820.15,72074.14,0.0,65111.78666666666,24562.03937716153,51426.2025,33931.942298889386
2021-06-01,ADO,33010.58,2.0,2.0,2.0,174.5,177.0,0.0,0.0,1.0550000000000002,Freeze,6,2,2021,0,-9.693877551020414,0.0,16933.12,85441.07,0.0,46731.44666666666,35112.57907804031,44527.585999999996,33188.658894292945
2021-07-01,ADO,60544.22,5.0,5.0,5.0,196.8,203.0,0.0,0.0,1.03,Increase,7,3,2021,0,14.689265536723163,0.0,33010.58,37820.15,0.0,29254.61666666667,10938.34772606147,42608.085,30054.89257833723
2021-08-01,ADO,60930.03,6.0,6.0,6.0,194.0,221.0,0.0,0.0,1.0050000000000001,Freeze,8,3,2021,0,8.866995073891616,0.0,60544.22,16933.12,0.0,36829.30666666667,22054.90910927846,45170.39,28261.3691866477
2021-09-01,ADO,12791.39,1.0,1.0,1.0,161.0,161.0,0.0,0.0,0.92,Increase,9,3,2021,0,-27.14932126696833,0.0,60930.03,33010.58,0.0,51494.943333333336,16009.090486908786,47140.345,26751.636535085905
2021-10-01,ADO,28496.61,3.0,3.0,3.0,188.66666666666666,199.0,0.0,0.0,0.96,Freeze,10,4,2021,0,23.60248447204969,0.0,12791.39,60544.22,0.0,44755.21333333334,27682.155152777275,43323.794444444444,27518.87213223278
2021-11-01,ADO,5320.01,1.0,1.0,1.0,159.0,159.0,0.0,0.0,0.93,Freeze,11,4,2021,0,-20.100502512562812,0.0,28496.61,60930.03,0.0,34072.676666666666,24548.9623989637,41841.076,26365.312746814478
2021-12-01,ADO,22491.13,1.0,1.0,1.0,196.0,196.0,0.0,0.0,1.08,Decrease,12,4,2021,1,23.27044025157232,0.0,5320.01,12791.39,0.0,15536.003333333336,11829.555091047765,38520.979090909095,27328.926487458473
2022-01-01,ADO,81139.23,5.0,5.0,5.0,215.8,198.0,0.0,0.0,1.004,Freeze,1,1,2022,0,1.0204081632652962,-9.999999999999998,22491.13,28496.61,10369.45,18769.250000000004,12028.216407298329,37185.15833333333,26464.805593793237
2022-02-01,ADO,16541.9,1.0,1.0,1.0,221.0,221.0,0.0,0.0,0.96,Freeze,2,1,2022,0,11.616161616161612,-2.643171806167399,81139.23,5320.01,72074.14,36316.79,39755.50510531592,43082.64,27797.58002685911
